pdb_id	chain_id	receptor_name	transducer_family	n_documented_positive_families	n_known_families	captured_family_documented	functional_promiscuous_2plus	primary_family	annotation_source	annotation_notes	notes
8PJK	R	5ht1a_human	Gi/o			False	False				
7E32	R	5ht1d_human	Gi/o			False	False				
8UGY	R	5ht1e_human	Gi/o			False	False				
7EXD	R	5ht1f_human	Gi/o			False	False				
8UWL	A	5ht2a_human	Gq/11			False	False				
7SRR	R	5ht2b_human	Gq/11	1.0	3.0	True	False		GproteinDb/GPCRdb merged family consensus + conservative manual curation; accessed 2026-07-31	Gq/11-supported; Gi/o has isolated/insufficient support and is treated as negative under the two-dataset consensus rule. Direct labels are used; blank means unknown, not non-coupling.	
8DPF	A	5ht2c_human	Gq/11	2.0	3.0	True	True		GproteinDb/GPCRdb merged family consensus + conservative manual curation; accessed 2026-07-31	Quantitative consensus supports Gi/o and Gq/11. Direct labels are used; blank means unknown, not non-coupling.	
7XTA	R	5ht4r_human	Gi/o			False	False				
7XT8	R	5ht4r_human	Gs			False	False				
7X5H	R	5ht5a_human	Gi/o	1.0	3.0	True	False		GproteinDb/GPCRdb merged family consensus + conservative manual curation; accessed 2026-07-31	Established Gi/o-coupled serotonin receptor. Direct labels are used; blank means unknown, not non-coupling.	
7XTB	R	5ht6r_human	Gs			False	False				
7XTC	R	5ht7r_human	Gs			False	False				
7LD3	R	aa1r_human	Gi/o			False	False				
5G53	B	aa2ar_human	Gs	1.0	3.0	True	False		GproteinDb/GPCRdb merged family consensus + conservative manual curation; accessed 2026-07-31	Canonical and quantitative Gs-family coupling. Direct labels are used; blank means unknown, not non-coupling.	Canonical and quantitative Gs-family coupling. Direct labels are used; blank means unknown, not non-coupling.
8HDO	R	aa2br_human	Gs			False	False				
8X17	R	aa3r_human	Gi/o			False	False				
6OIJ	R	acm1_human	Gq/11			False	False				
8E9W	A	acm3_human	Gq/11	2.0	3.0	True	True		GproteinDb/GPCRdb merged family consensus + conservative manual curation; accessed 2026-07-31	Quantitative merged consensus supports Gi/o and Gq/11; Gs support is below consensus threshold. Direct labels are used; blank means unknown, not non-coupling.	Quantitative merged consensus supports Gi/o and Gq/11; Gs support is below consensus threshold. Direct labels are used; blank means unknown, not non-coupling.
7TRP	R	acm4_human	Gi/o	2.0	3.0	True	True		GproteinDb/GPCRdb merged family consensus + conservative manual curation; accessed 2026-07-31	Quantitative merged consensus supports Gi/o and Gq/11; Gs support is below consensus threshold. Direct labels are used; blank means unknown, not non-coupling.	
8GY7	R	acthr_human	Gs			False	False				
7YM8	A	ada1a_human	Gq/11			False	False				
9CBL	R	ada2a_human	Gi/o	2.0	3.0	True	True		GproteinDb/GPCRdb merged family consensus + conservative manual curation; accessed 2026-07-31	Current merged quantitative consensus supports Gs and Gi/o; Gq/11 support is below threshold. Direct labels are used; blank means unknown, not non-coupling.	
6K42	R	ada2b_human	Gi/o	1.0	3.0	True	False		GproteinDb/GPCRdb merged family consensus + conservative manual curation; accessed 2026-07-31	Current merged consensus supports Gi/o; Gs and Gq/11 are below threshold. Direct labels are used; blank means unknown, not non-coupling.	
7S0F	R	adrb1_melga	Gi/o		0.0	False	False				
7JJO	R	adrb1_melga	Gs		0.0	False	False				
8GG0	R	adrb2_human	Gs	3.0	3.0	True	True		GproteinDb/GPCRdb merged family consensus + conservative manual curation; accessed 2026-07-31	Current broad quantitative profiling supports all three families. Direct labels are used; blank means unknown, not non-coupling.	Current broad quantitative profiling supports all three families. Direct labels are used; blank means unknown, not non-coupling.
7DH5	R	adrb3_canlf	Gs			False	False				
9IJE	R	adrb3_human	Gs			False	False				
7F6G	A	agtr1_human	Gq/11	2.0	3.0	True	True		GproteinDb/GPCRdb merged family consensus + conservative manual curation; accessed 2026-07-31	AT1 receptor has established Gi/o and Gq/11 coupling; Gs not supported as a consensus family. Direct labels are used; blank means unknown, not non-coupling.	
8XZH	R	apj_human	Gi/o			False	False				
9EPP	R	b1b1u5_9arac	Gi/o			False	False				
7EIB	A	bkrb1_human	Gq/11			False	False				
7F6I	A	bkrb2_human	Gq/11			False	False				
8Y52	R	brs3_human	Gq/11			False	False				
8IA8	A	c3ar_human	Gi/o	2.0	3.0	True	True		GproteinDb/GPCRdb merged family consensus + conservative manual curation; accessed 2026-07-31	Established Gi/o and Gq/11 coupling. Direct labels are used; blank means unknown, not non-coupling.	
8I9A	C	c3ar_human	Gq/11	2.0	3.0	True	True		GproteinDb/GPCRdb merged family consensus + conservative manual curation; accessed 2026-07-31	Established Gi/o and Gq/11 coupling. Direct labels are used; blank means unknown, not non-coupling.	
7Y67	D	c5ar1_human	Gi/o	1.0	3.0	True	False		GproteinDb/GPCRdb merged family consensus + conservative manual curation; accessed 2026-07-31	Established Gi/o-dominant coupling; direct Gq/11 consensus not assigned. Direct labels are used; blank means unknown, not non-coupling.	
7EZH	D	cckar_human	Gi/o			False	False				
7EZM	D	cckar_human	Gq/11			False	False				
7MBX	R	cckar_human	Gs			False	False				
7VL9	R	ccr1_human	Gi/o			False	False				
7XA3	R	ccr2_human	Gi/o			False	False				
7X9Y	R	ccr3_human	Gi/o			False	False				
7F1S	R	ccr5_human	Gi/o			False	False				
8KFX	R	ccr8_human	Gi/o			False	False				
7YKD	A	cml1_human	Gi/o			False	False				
8JJP	A	cml2_human	Gi/o			False	False				
