pdb_id	chain_id	receptor_name	transducer_family	publication_reference	label_target	label_provenance_category	homology_propagation_risk	provenance_note
8PJK	R	5ht1a_human	Gi/o		bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
7E32	R	5ht1d_human	Gi/o	https://dx.doi.org/10.1038/S41586-021-03376-8	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
8UGY	R	5ht1e_human	Gi/o	https://dx.doi.org/10.1126/SCIADV.ADK4855	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
7EXD	R	5ht1f_human	Gi/o	https://dx.doi.org/10.1038/S41422-021-00527-4	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
8UWL	A	5ht2a_human	Gq/11	https://dx.doi.org/10.1126/SCIENCE.ADN6354	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
7SRR	R	5ht2b_human	Gq/11	https://dx.doi.org/10.1016/J.NEURON.2022.08.006	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
8DPF	A	5ht2c_human	Gq/11	https://dx.doi.org/10.1016/J.CELREP.2022.111211	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
7XTA	R	5ht4r_human	Gi/o	https://dx.doi.org/10.1016/J.MOLCEL.2022.05.031	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
7XT8	R	5ht4r_human	Gs	https://dx.doi.org/10.1016/J.MOLCEL.2022.05.031	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
7X5H	R	5ht5a_human	Gi/o	https://dx.doi.org/10.1038/S41421-022-00412-3	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
7XTB	R	5ht6r_human	Gs	https://dx.doi.org/10.1016/J.MOLCEL.2022.05.031	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
7XTC	R	5ht7r_human	Gs	https://dx.doi.org/10.1016/J.MOLCEL.2022.05.031	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
7LD3	R	aa1r_human	Gi/o	https://dx.doi.org/10.1038/S41586-021-03897-2	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
5G53	B	aa2ar_human	Gs	https://dx.doi.org/10.1038/NATURE18966	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
8HDO	R	aa2br_human	Gs	https://dx.doi.org/10.1038/S41421-022-00503-1	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
8X17	R	aa3r_human	Gi/o	https://dx.doi.org/10.1038/S41467-024-47207-6	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
6OIJ	R	acm1_human	Gq/11	https://dx.doi.org/10.1126/SCIENCE.AAW5188	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
8E9W	A	acm3_human	Gq/11	https://dx.doi.org/10.1038/S41586-022-05489-0	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
7TRP	R	acm4_human	Gi/o		bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
8GY7	R	acthr_human	Gs	https://dx.doi.org/10.1038/S41422-022-00751-6	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
7YM8	A	ada1a_human	Gq/11	https://dx.doi.org/10.1038/S41467-023-39310-X	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
9CBL	R	ada2a_human	Gi/o	https://dx.doi.org/10.1038/S12276-024-01296-X	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
6K42	R	ada2b_human	Gi/o		bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
7S0F	R	adrb1_melga	Gi/o	https://dx.doi.org/10.1038/S41594-021-00679-2	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
7JJO	R	adrb1_melga	Gs	https://dx.doi.org/10.1016/J.MOLCEL.2020.08.001	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
8GG0	R	adrb2_human	Gs	https://dx.doi.org/10.1038/S41586-024-07153-1	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
7DH5	R	adrb3_canlf	Gs	https://dx.doi.org/10.1016/J.MOLCEL.2021.06.024	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
9IJE	R	adrb3_human	Gs	https://dx.doi.org/10.1002/CPLU.202400288	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
7F6G	A	agtr1_human	Gq/11		bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
8XZH	R	apj_human	Gi/o	https://dx.doi.org/10.1016/J.CELL.2024.02.004	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
9EPP	R	b1b1u5_9arac	Gi/o		bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
7EIB	A	bkrb1_human	Gq/11	https://dx.doi.org/10.1038/S41594-021-00645-Y	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
7F6I	A	bkrb2_human	Gq/11	https://dx.doi.org/10.1038/S41467-022-28399-1	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
8Y52	R	brs3_human	Gq/11	https://dx.doi.org/10.1016/J.CELREP.2024.114511	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
8IA8	A	c3ar_human	Gi/o		bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
8I9A	C	c3ar_human	Gq/11	https://dx.doi.org/10.1016/J.CELL.2023.09.020	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
7Y67	D	c5ar1_human	Gi/o	https://dx.doi.org/10.1038/S41422-023-00779-2	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
7EZH	D	cckar_human	Gi/o	https://dx.doi.org/10.1038/S41589-021-00841-3	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
7EZM	D	cckar_human	Gq/11	https://dx.doi.org/10.1038/S41589-021-00841-3	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
7MBX	R	cckar_human	Gs	https://dx.doi.org/10.1371/JOURNAL.PBIO.3001295	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
7VL9	R	ccr1_human	Gi/o	https://dx.doi.org/10.1038/S41589-021-00918-Z	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
7XA3	R	ccr2_human	Gi/o	https://dx.doi.org/10.1038/S41421-022-00403-4	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
7X9Y	R	ccr3_human	Gi/o	https://dx.doi.org/10.1038/S41421-022-00403-4	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
7F1S	R	ccr5_human	Gi/o	https://dx.doi.org/10.1038/S41467-021-24438-5	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
8KFX	R	ccr8_human	Gi/o	https://dx.doi.org/10.1126/SCIADV.ADJ7500	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
7YKD	A	cml1_human	Gi/o	https://dx.doi.org/10.1073/PNAS.2214324120	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
8JJP	A	cml2_human	Gi/o		bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
8GHV	D	cnr1_human	Gi/o	https://dx.doi.org/10.1038/S41467-023-37864-4	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
8K8J	R	cnr1_human	Gs	https://dx.doi.org/10.1002/ADVS.202306311	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
8GUR	R	cnr2_human	Gi/o	https://dx.doi.org/10.1038/S41467-023-37112-9	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
7XBW	R	cx3c1_human	Gi/o	https://dx.doi.org/10.1126/SCIADV.ABN8048	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
8IC0	A	cxcr1_human	Gi/o	https://dx.doi.org/10.1038/S41467-023-39799-2	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
6LFO	R	cxcr2_human	Gi/o	https://dx.doi.org/10.1038/S41586-020-2492-5	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
8HNM	R	cxcr3_human	Gi/o	https://dx.doi.org/10.1038/S41594-023-01175-5	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
8U4N	R	cxcr4_human	Gi/o	https://dx.doi.org/10.1038/S41594-024-01397-1	bound_transducer_family	direct_structural_complex_assignment	False	The class label is the transducer family physically present in the deposited complex.
