feature	block	quantity_type	unit	generic_positions_in_name	coordinate_definition_summary	missing_value_handling	used_in_P0_92_feature_matched_set
activation_consensus_score	Activation summary	score	dimensionless		Composite score generated by the project workflow.	Missing structural measurements remain missing; imputation/scaling are fit within training folds for predictive analyses.	True
tm6_r350_634_distance	TM6 opening/geometry	distance/length	angstrom	3.50;6.34	C-alpha or defined side-chain/centroid distance as implemented in measurement.py.	Missing structural measurements remain missing; imputation/scaling are fit within training folds for predictive analyses.	True
tm6_aligned_displacement	TM6 opening/geometry	distance/length	angstrom		C-alpha or defined side-chain/centroid distance as implemented in measurement.py.	Missing structural measurements remain missing; imputation/scaling are fit within training folds for predictive analyses.	True
tm7_displacement	TM7 geometry	distance/length	angstrom		C-alpha or defined side-chain/centroid distance as implemented in measurement.py.	Missing structural measurements remain missing; imputation/scaling are fit within training folds for predictive analyses.	True
tm3_tm7_distance	TM7 geometry	distance/length	angstrom		C-alpha or defined side-chain/centroid distance as implemented in measurement.py.	Missing structural measurements remain missing; imputation/scaling are fit within training folds for predictive analyses.	True
tm6_r350_630_distance	TM6 opening/geometry	distance/length	angstrom	3.50;6.30	C-alpha or defined side-chain/centroid distance as implemented in measurement.py.	Missing structural measurements remain missing; imputation/scaling are fit within training folds for predictive analyses.	True
dry_r350_630_min_distance	DRY/ionic lock	distance/length	angstrom	3.50;6.30	Minimum heavy-atom distance.	Missing structural measurements remain missing; imputation/scaling are fit within training folds for predictive analyses.	True
dry_r350_630_ca_distance	DRY/ionic lock	distance/length	angstrom	3.50;6.30	C-alpha or defined side-chain/centroid distance as implemented in measurement.py.	Missing structural measurements remain missing; imputation/scaling are fit within training folds for predictive analyses.	True
dry_d349_r350_min_distance	DRY/ionic lock	distance/length	angstrom	3.49;3.50	Minimum heavy-atom distance.	Missing structural measurements remain missing; imputation/scaling are fit within training folds for predictive analyses.	True
r350_chi1	DRY/ionic lock	angle/dihedral	degrees	3.50	Angular geometry computed from receptor coordinates.	Missing structural measurements remain missing; imputation/scaling are fit within training folds for predictive analyses.	True
r350_chi2	DRY/ionic lock	angle/dihedral	degrees	3.50	Angular geometry computed from receptor coordinates.	Missing structural measurements remain missing; imputation/scaling are fit within training folds for predictive analyses.	True
pif_550_340_distance	PIF microswitch	distance/length	angstrom	5.50;3.40	C-alpha or defined side-chain/centroid distance as implemented in measurement.py.	Missing structural measurements remain missing; imputation/scaling are fit within training folds for predictive analyses.	True
pif_340_644_distance	PIF microswitch	distance/length	angstrom	3.40;6.44	C-alpha or defined side-chain/centroid distance as implemented in measurement.py.	Missing structural measurements remain missing; imputation/scaling are fit within training folds for predictive analyses.	True
pif_550_644_distance	PIF microswitch	distance/length	angstrom	5.50;6.44	C-alpha or defined side-chain/centroid distance as implemented in measurement.py.	Missing structural measurements remain missing; imputation/scaling are fit within training folds for predictive analyses.	True
pif_550_340_min_distance	PIF microswitch	distance/length	angstrom	5.50;3.40	Minimum heavy-atom distance.	Missing structural measurements remain missing; imputation/scaling are fit within training folds for predictive analyses.	True
pif_340_644_min_distance	PIF microswitch	distance/length	angstrom	3.40;6.44	Minimum heavy-atom distance.	Missing structural measurements remain missing; imputation/scaling are fit within training folds for predictive analyses.	True
pif_550_644_min_distance	PIF microswitch	distance/length	angstrom	5.50;6.44	Minimum heavy-atom distance.	Missing structural measurements remain missing; imputation/scaling are fit within training folds for predictive analyses.	True
pif_triangle_perimeter	PIF microswitch	numeric geometry	see implementation		Numeric receptor-coordinate descriptor.	Missing structural measurements remain missing; imputation/scaling are fit within training folds for predictive analyses.	True
