receptor_name	uniprot	n_receptor_only_structures	n_strict_polymer_only_structures	n_polymeric_ligand_structures	pdb_ids	functional_annotation_available	Gs	Gi/o	Gq/11	annotation_source	notes	label_target	label_provenance_category	direct_vs_inferred_resolved	provenance_note
aa2ar_human	P29274	4	4	0	2YDO;2YDV;4UG2;4UHR	True	1.0	0.0	0.0	GproteinDb/GPCRdb merged family consensus + conservative manual curation; accessed 2026-07-31	Canonical and quantitative Gs-family coupling. Direct labels are used; blank means unknown, not non-coupling.	receptor_only_functional_coupling	database_consensus_plus_manual_curation	False	The current table does not provide source-level experimental versus homology-inferred provenance for each family label.
acm3_human	P20309	1	1	0	8EA0	True	0.0	1.0	1.0	GproteinDb/GPCRdb merged family consensus + conservative manual curation; accessed 2026-07-31	Quantitative merged consensus supports Gi/o and Gq/11; Gs support is below consensus threshold. Direct labels are used; blank means unknown, not non-coupling.	receptor_only_functional_coupling	database_consensus_plus_manual_curation	False	The current table does not provide source-level experimental versus homology-inferred provenance for each family label.
adrb2_human	P07550	20	20	0	8GGI;8GGJ;8GGK;8GGL;8GGM;8GGN;8GGO;8GGP;8GGQ;8GGR;8GGS;8GGT;8GGU;8GGV;8GGW;8GGX;8GGY;8GGZ;8GH0;8GH1	True	1.0	1.0	1.0	GproteinDb/GPCRdb merged family consensus + conservative manual curation; accessed 2026-07-31	Current broad quantitative profiling supports all three families. Direct labels are used; blank means unknown, not non-coupling.	receptor_only_functional_coupling	database_consensus_plus_manual_curation	False	The current table does not provide source-level experimental versus homology-inferred provenance for each family label.
ednrb_human	P24530	2	0	2	8IY6;8ZRT	True	0.0	1.0	1.0	GproteinDb/GPCRdb merged family consensus + conservative manual curation; accessed 2026-07-31	Current merged consensus supports Gi/o and Gq/11; Gs support is below threshold. Direct labels are used; blank means unknown, not non-coupling.	receptor_only_functional_coupling	database_consensus_plus_manual_curation	False	The current table does not provide source-level experimental versus homology-inferred provenance for each family label.
gp101_human	Q96P66	1	1	0	8W8S	True	1.0	0.0	0.0	GproteinDb/GPCRdb merged family consensus + conservative manual curation; accessed 2026-07-31	GPR101 is constitutively Gs-coupled. Direct labels are used; blank means unknown, not non-coupling.	receptor_only_functional_coupling	database_consensus_plus_manual_curation	False	The current table does not provide source-level experimental versus homology-inferred provenance for each family label.
gpr34_human	Q9UPC5	3	3	0	8IYX;8XBG;8XBI	True	0.0	1.0	0.0	GproteinDb/GPCRdb merged family consensus + conservative manual curation; accessed 2026-07-31	GPR34 has established Gi/o coupling. Direct labels are used; blank means unknown, not non-coupling.	receptor_only_functional_coupling	database_consensus_plus_manual_curation	False	The current table does not provide source-level experimental versus homology-inferred provenance for each family label.
hcar2_human	Q8TDS4	3	3	0	8K5B;8K5C;8K5D	True	0.0	1.0	0.0	GproteinDb/GPCRdb merged family consensus + conservative manual curation; accessed 2026-07-31	HCA2 has established Gi/o coupling. Direct labels are used; blank means unknown, not non-coupling.	receptor_only_functional_coupling	database_consensus_plus_manual_curation	False	The current table does not provide source-level experimental versus homology-inferred provenance for each family label.
lpar1_human	Q92633	1	1	0	7YU4	True	0.0	1.0	1.0	GproteinDb/GPCRdb merged family consensus + conservative manual curation; accessed 2026-07-31	LPA1 has established Gi/o and Gq/11 coupling; G12/13 is outside this validation. Direct labels are used; blank means unknown, not non-coupling.	receptor_only_functional_coupling	database_consensus_plus_manual_curation	False	The current table does not provide source-level experimental versus homology-inferred provenance for each family label.
mrgx2_human	Q96LB1	3	1	2	7VV0;7VV4;7VV6	True	0.0	1.0	1.0	GproteinDb/GPCRdb merged family consensus + conservative manual curation; accessed 2026-07-31	MRGPRX2 supports Gi/o and Gq/11 signaling. Direct labels are used; blank means unknown, not non-coupling.	receptor_only_functional_coupling	database_consensus_plus_manual_curation	False	The current table does not provide source-level experimental versus homology-inferred provenance for each family label.
ntr1_human	P30989	1	0	1	8JPF	True	0.0	1.0	1.0	GproteinDb/GPCRdb merged family consensus + conservative manual curation; accessed 2026-07-31	NTS1 supports Gi/o and Gq/11 coupling. Direct labels are used; blank means unknown, not non-coupling.	receptor_only_functional_coupling	database_consensus_plus_manual_curation	False	The current table does not provide source-level experimental versus homology-inferred provenance for each family label.
oprd_human	P41143	2	1	1	6PT2;6PT3	True	0.0	1.0	0.0	GproteinDb/GPCRdb merged family consensus + conservative manual curation; accessed 2026-07-31	Delta opioid receptor has established Gi/o coupling. Direct labels are used; blank means unknown, not non-coupling.	receptor_only_functional_coupling	database_consensus_plus_manual_curation	False	The current table does not provide source-level experimental versus homology-inferred provenance for each family label.
opsd_bovin	P02699	13	13	0	3CAP;3PXO;4BEZ;5DYS;5TE3;6FK6;6FK7;6FK8;6FK9;6FKA;6FKB;6FKC;6FKD	False						receptor_only_functional_coupling	database_consensus_plus_manual_curation	False	The current table does not provide source-level experimental versus homology-inferred provenance for each family label.
taar1_mouse	Q923Y8	1	1	0	8WCC	False						receptor_only_functional_coupling	database_consensus_plus_manual_curation	False	The current table does not provide source-level experimental versus homology-inferred provenance for each family label.
taar9_mouse	Q5QD04	2	2	0	8IWE;8IWM	False						receptor_only_functional_coupling	database_consensus_plus_manual_curation	False	The current table does not provide source-level experimental versus homology-inferred provenance for each family label.
us28_hcmva	P69332	1	0	1	4XT3	False						receptor_only_functional_coupling	database_consensus_plus_manual_curation	False	The current table does not provide source-level experimental versus homology-inferred provenance for each family label.
