pdb_id	receptor_name	chain_id	fusion_names	topology	topology_confidence	extra_polymer_descriptions	extra_ok_ligand_permissive	extra_policy_reason	evidence	topology_source	override_rationale
3P0G	adrb2_human	A	lysozyme	internal	1.0	Camelid Antibody Fragment	False	excluded_auxiliary_or_transducer	segments=[(9, 238, 'receptor', 'adrb2_human p07550 p07550'), (239, 398, 'fusion', 'lys_bpt4 p00720 p00720'), (399, 501, 'receptor', 'adrb2_human p07550 p07550')]; chain_length=501; description=Beta-2 adrenergic receptor, Lysozyme	automatic_mmcif	
3QAK	aa2ar_human	A	lysozyme	internal	1.0		True	none	segments=[(17, 223, 'receptor', 'aa2ar_human p29274 p29274'), (224, 383, 'fusion', 'lys_bpt4 p00720 p00720'), (384, 478, 'receptor', 'aa2ar_human p29274 p29274')]; chain_length=488; description=Adenosine receptor A2a,lysozyme chimera	automatic_mmcif	
3VW7	par1_human	A	lysozyme	internal	1.0		True	none	segments=[(4, 219, 'receptor', 'par1_human p25116 p25116'), (220, 379, 'fusion', 'lys_bpt4 p00720 p00720'), (380, 472, 'receptor', 'par1_human p25116 p25116')]; chain_length=484; description=Proteinase-activated receptor 1, Lysozyme	automatic_mmcif	
4GRV	ntr1_rat	A	lysozyme	internal	1.0	Neurotensin 8-13	True	extracellular_polymer_ligand_permitted_only_in_ligand_permissive_variant	segments=[(11, 236, 'receptor', 'ntr1_rat p20789 p20789'), (237, 396, 'fusion', 'lys_bpt4 p00720 p00720'), (401, 497, 'receptor', 'ntr1_rat p20789 p20789')]; chain_length=510; description=Neurotensin receptor type 1, lysozyme chimera	automatic_mmcif	
4LDE	adrb2_human	A	lysozyme	N_terminal	1.0	Camelid Antibody Fragment	False	excluded_auxiliary_or_transducer	segments=[(16, 175, 'fusion', 'lys_bpt4 p00720 p00720'), (178, 384, 'receptor', 'adrb2_human p07550 p07550'), (385, 469, 'receptor', 'adrb2_human p07550 p07550')]; chain_length=469; description=Lysozyme, Beta-2 adrenergic receptor	automatic_mmcif	
4LDL	adrb2_human	A	lysozyme	N_terminal	1.0	Camelid Antibody Fragment	False	excluded_auxiliary_or_transducer	segments=[(16, 175, 'fusion', 'lys_bpt4 p00720 p00720'), (178, 384, 'receptor', 'adrb2_human p07550 p07550'), (385, 469, 'receptor', 'adrb2_human p07550 p07550')]; chain_length=469; description=Lysozyme, Beta-2 adrenergic receptor	automatic_mmcif	
4LDO	adrb2_human	A	lysozyme	N_terminal	1.0	Camelid Antibody Fragment	False	excluded_auxiliary_or_transducer	segments=[(16, 175, 'fusion', 'lys_bpt4 p00720 p00720'), (178, 384, 'receptor', 'adrb2_human p07550 p07550'), (385, 469, 'receptor', 'adrb2_human p07550 p07550')]; chain_length=469; description=Lysozyme, Beta-2 adrenergic receptor	automatic_mmcif	
4NTJ	p2y12_human	A	b562	internal	1.0		True	none	segments=[(11, 232, 'receptor', 'p2y12_human q9h244 q9h244'), (233, 338, 'fusion', 'c562_ecolx p0abe7 p0abe7'), (339, 457, 'receptor', 'p2y12_human q9h244 q9h244')]; chain_length=466; description=P2Y purinoceptor 12,Soluble cytochrome b562,P2Y purinoceptor 12	automatic_mmcif	
4PHU	ffar1_human	A	lysozyme	internal	1.0		True	none	segments=[(14, 224, 'receptor', 'ffar1_human o14842 o14842'), (227, 386, 'fusion', 'lys_bpt4 p00720 p00720'), (389, 475, 'receptor', 'ffar1_human o14842 o14842')]; chain_length=491; description=Free fatty acid receptor 1,Lysozyme	automatic_mmcif	
4PXZ	p2y12_human	A	b562	internal	1.0		True	none	segments=[(11, 232, 'receptor', 'p2y12_human q9h244 q9h244'), (233, 338, 'fusion', 'c562_ecolx p0abe7 p0abe7'), (339, 457, 'receptor', 'p2y12_human q9h244 q9h244')]; chain_length=466; description=P2Y purinoceptor 12, Soluble cytochrome b562	automatic_mmcif	
4PY0	p2y12_human	A	b562	internal	1.0		True	none	segments=[(11, 232, 'receptor', 'p2y12_human q9h244 q9h244'), (233, 338, 'fusion', 'c562_ecolx p0abe7 p0abe7'), (339, 457, 'receptor', 'p2y12_human q9h244 q9h244')]; chain_length=466; description=P2Y purinoceptor 12, Soluble cytochrome b562	automatic_mmcif	
4XEE	ntr1_rat	A	endolysin	C_terminal	1.0	Neurotensin/neuromedin N	True	extracellular_polymer_ligand_permitted_only_in_ligand_permissive_variant	segments=[(11, 364, 'receptor', 'ntr1_rat p20789 p20789'), (378, 537, 'fusion', 'enlys_bpt4 p00720 p00720')]; chain_length=541; description=Neurotensin receptor type 1, Endolysin chimera	automatic_mmcif	
4XES	ntr1_rat	A	endolysin	C_terminal	1.0	Neurotensin/neuromedin N	True	extracellular_polymer_ligand_permitted_only_in_ligand_permissive_variant	segments=[(11, 364, 'receptor', 'ntr1_rat p20789 p20789'), (378, 537, 'fusion', 'enlys_bpt4 p00720 p00720')]; chain_length=541; description=Neurotensin receptor type 1, Endolysin chimera	automatic_mmcif	
4XNV	p2ry1_human	A	rubredoxin	internal	0.95		True	none	segments=[(1, 246, 'receptor', 'p2ry1_human p47900 p47900'), (247, 300, 'other', 'rubr_clopa p00268 p00268'), (301, 421, 'receptor', 'p2ry1_human p47900 p47900')]; chain_length=421; description=P2Y purinoceptor 1, Rubredoxin, P2Y purinoceptor 1; inferred_from_nonreceptor_span=internal	automatic_mmcif	
4XNW	p2ry1_human	C	rubredoxin	internal	0.95		True	none	segments=[(1, 246, 'receptor', 'p2ry1_human p47900 p47900'), (247, 300, 'other', 'rubr_clopa p00268 p00268'), (301, 421, 'receptor', 'p2ry1_human p47900 p47900')]; chain_length=421; description=P2Y purinoceptor 1,Rubredoxin,P2Y purinoceptor 1 | [(1R,2S,4S,5S)-4-[2-iodo-6-(methylamino)-9H-purin-9-yl]-2-(phosphonooxy)bicyclo[3.1.0]hex-1-yl]methyl dihydrogen phosphate; inferred_from_nonreceptor_span=internal	automatic_mmcif	
5KW2	ffar1_human	A	lysozyme	internal	1.0		True	none	segments=[(14, 224, 'receptor', 'ffar1_human o14842 o14842'), (227, 386, 'fusion', 'd9ief7_bpt4 d9ief7 d9ief7'), (389, 475, 'receptor', 'ffar1_human o14842 o14842')]; chain_length=491; description=Free fatty acid receptor 1,Lysozyme,Free fatty acid receptor 1	automatic_mmcif	
5T04	ntr1_rat	A	endolysin	internal	1.0	ARG-ARG-PRO-TYR-ILE-LEU	True	extracellular_polymer_ligand_permitted_only_in_ligand_permissive_variant	segments=[(11, 236, 'receptor', 'ntr1_rat p20789 p20789'), (237, 396, 'fusion', 'enlys_bpt4 p00720 p00720'), (401, 500, 'receptor', 'ntr1_rat p20789 p20789')]; chain_length=513; description=Neurotensin receptor type 1,Endolysin,Neurotensin receptor type 1	automatic_mmcif	
5TUD	5ht2b_human	A	b562	internal	1.0	Anti-5-HT2B Fab light chain | Anti-5-HT2B Fab heavy chain	False	excluded_auxiliary_or_transducer	segments=[(27, 239, 'receptor', '5ht2b_human p41595 p41595'), (240, 345, 'fusion', 'c562_ecolx p0abe7 p0abe7'), (346, 437, 'receptor', '5ht2b_human p41595 p41595')]; chain_length=457; description=5-hydroxytryptamine receptor 2B,Soluble cytochrome b562 chimera	automatic_mmcif	
5TZR	ffar1_human	A	endolysin	internal	1.0		True	none	segments=[(14, 224, 'receptor', 'ffar1_human o14842 o14842'), (227, 386, 'fusion', 'enlys_bpt4 p00720 p00720'), (389, 475, 'receptor', 'ffar1_human o14842 o14842')]; chain_length=491; description=Free fatty acid receptor 1,Endolysin,Free fatty acid receptor 1	automatic_mmcif	
5TZY	ffar1_human	A	endolysin	internal	1.0		True	none	segments=[(14, 224, 'receptor', 'ffar1_human o14842 o14842'), (227, 386, 'fusion', 'enlys_bpt4 p00720 p00720'), (389, 475, 'receptor', 'ffar1_human o14842 o14842')]; chain_length=491; description=Free fatty acid receptor 1,Endolysin,Free fatty acid receptor 1	automatic_mmcif	
5WF5	aa2ar_human	A	t4l	internal	1.0		True	none	segments=[(33, 239, 'receptor', 'aa2ar_human p29274 p29274'), (240, 399, 'fusion', 'enlys_bpt4 p00720 p00720'), (400, 494, 'receptor', 'aa2ar_human p29274 p29274')]; chain_length=504; description=Human A2a adenosine receptor T4L chimera	automatic_mmcif	
